Item,Quantity,Unit Price (USD),Total (USD),Link
Miuzei 20KG Digital Servos (4 Pack),3,44.99,134.97,https://www.amazon.com/dp/B0FH53CKCS
12 AWG Silicone Wire (Red/Black),1,11.64,11.64,https://www.aliexpress.us/item/3256808377087848.html
30A 2x12 Terminal Block Distribution Module,1,9.63,9.63,https://www.aliexpress.us/item/3256805810671782.html
LM2596S Adjustable Buck Converter (5V Logic Rail),1,8.43,8.43,https://www.aliexpress.us/item/3256808555816134.html
300W 20A DC-DC Buck Converter (Servo Rail),1,3.83,3.83,https://www.aliexpress.us/item/3256805882203198.html
Inline Fuse Holders,1,4.91,4.91,https://www.aliexpress.us/item/3256809222471794.html
4700µF 25V Electrolytic Capacitors (10pcs),1,2.23,2.23,https://www.aliexpress.us/item/3256806684037967.html
Heat Shrink Tubing Kit,1,0.99,0.99,https://www.aliexpress.us/item/3256808709374117.html
PCA9685 16-Channel PWM Driver Board,1,3.73,3.73,https://www.aliexpress.us/item/3256810242626835.html
22 AWG Servo Extension Cables (20 Pack),1,1.59,1.59,https://www.aliexpress.us/item/3256807778609444.html
Total,,,181.95,
